migration,classical_workflow,pqc_workflow,classical_mean_seconds,pqc_mean_seconds,mean_ratio_pqc_to_classical,classical_median_seconds,pqc_median_seconds,median_ratio_pqc_to_classical
ECDH_to_ML-KEM,ECDH,ML-KEM,0.00010212479997426271,0.0005595923349416504,5.4794950402123455,9.700004011392593e-05,0.000507500022649765,5.231956832736455
ECDSA_to_ML-DSA,ECDSA,ML-DSA,0.00016233300239158174,0.0021026717339797567,12.952829695761217,0.00015600002370774746,0.0017303999629803002,11.092305769273823
