comparison,classical_algorithm,classical_operation,pqc_algorithm,pqc_operation,classical_mean_seconds,pqc_mean_seconds,mean_ratio_pqc_to_classical,classical_median_seconds,pqc_median_seconds,median_ratio_pqc_to_classical
RSA_to_ML-KEM,RSA,KeyGen,ML-KEM,KeyGen,0.07239465046767145,0.00029397293350969753,0.00406069967339609,0.06288629997288808,0.00027570000384002924,0.004384102800751367
ECDH_to_ML-KEM,ECDH,KeyGen,ML-KEM,KeyGen,2.7087332603211205e-05,0.00029397293350969753,10.852782657338768,2.5699962861835957e-05,0.00027570000384002924,10.7276421106989
ECDH_to_ML-KEM,ECDH,SharedSecret,ML-KEM,Encapsulation,7.503746737105151e-05,7.203313452191651e-05,0.9599622301445899,7.130007725208998e-05,6.590003613382578e-05,0.9242631799798519
ECDH_to_ML-KEM,ECDH,SharedSecret,ML-KEM,Decapsulation,7.503746737105151e-05,0.0001935862669100364,2.579861417134122,7.130007725208998e-05,0.00016589998267591,2.32678545479482
ECDSA_to_ML-DSA,ECDSA,KeyGen,ML-DSA,KeyGen,2.60760011151433e-05,0.00031353166839107873,12.023763421646708,2.5799963623285294e-05,0.0002839999506250024,11.007765544625936
ECDSA_to_ML-DSA,ECDSA,Signing,ML-DSA,Signing,3.792180058856805e-05,0.0015165815991349519,39.99234149214271,3.5800039768218994e-05,0.0011834999895654619,33.05862220343392
ECDSA_to_ML-DSA,ECDSA,Verification,ML-DSA,Verification,9.833520068787039e-05,0.00027255846645372607,2.771728379533841,9.440002031624317e-05,0.00026290002278983593,2.7849572691733773
